name,modality,paper_category,embedding,n_files,n_pooled,n_mean_per_file,d,n_anom_pooled,anom_rate_pooled,difficulty,relative_paths
ALOI,classical,Image,none,1,49534,49534.0,27,1508,0.030444,standard,Classical/1_ALOI.npz
annthyroid,classical,Healthcare,none,1,7200,7200.0,6,534,0.074167,standard,Classical/2_annthyroid.npz
backdoor,classical,Network,none,1,95329,95329.0,196,2329,0.024431,standard,Classical/3_backdoor.npz
breastw,classical,Healthcare,none,1,683,683.0,9,239,0.349927,high_anom_rate,Classical/4_breastw.npz
campaign,classical,Finance,none,1,41188,41188.0,62,4640,0.112654,standard,Classical/5_campaign.npz
cardio,classical,Healthcare,none,1,1831,1831.0,21,176,0.096122,standard,Classical/6_cardio.npz
Cardiotocography,classical,Healthcare,none,1,2114,2114.0,21,466,0.220435,standard,Classical/7_Cardiotocography.npz
celeba,classical,Image,none,1,202599,202599.0,39,4547,0.022443,large_n,Classical/8_celeba.npz
census,classical,Sociology,none,1,299285,299285.0,500,18568,0.062041,high_d|large_n,Classical/9_census.npz
cover,classical,Botany,none,1,286048,286048.0,10,2747,0.009603,extreme_imbalance|large_n,Classical/10_cover.npz
donors,classical,Sociology,none,1,619326,619326.0,10,36710,0.059274,large_n,Classical/11_donors.npz
fault,classical,Physical,none,1,1941,1941.0,27,673,0.346728,high_anom_rate,Classical/12_fault.npz
fraud,classical,Finance,none,1,284807,284807.0,29,492,0.001727,extreme_imbalance|large_n,Classical/13_fraud.npz
glass,classical,Forensic,none,1,214,214.0,7,9,0.042056,tiny_n,Classical/14_glass.npz
Hepatitis,classical,Healthcare,none,1,80,80.0,19,13,0.1625,tiny_n,Classical/15_Hepatitis.npz
http,classical,Web,none,1,567498,567498.0,3,2211,0.003896,extreme_imbalance|large_n,Classical/16_http.npz
InternetAds,classical,Image,none,1,1966,1966.0,1555,368,0.187182,high_d,Classical/17_InternetAds.npz
Ionosphere,classical,Oryctognosy,none,1,351,351.0,32,126,0.358974,high_anom_rate|tiny_n,Classical/18_Ionosphere.npz
landsat,classical,Astronautics,none,1,6435,6435.0,36,1333,0.207148,standard,Classical/19_landsat.npz
letter,classical,Image,none,1,1600,1600.0,32,100,0.0625,standard,Classical/20_letter.npz
Lymphography,classical,Healthcare,none,1,148,148.0,18,6,0.040541,tiny_n,Classical/21_Lymphography.npz
magic.gamma,classical,Physical,none,1,19020,19020.0,10,6688,0.35163,high_anom_rate,Classical/22_magic.gamma.npz
mammography,classical,Healthcare,none,1,11183,11183.0,6,260,0.02325,standard,Classical/23_mammography.npz
mnist,classical,Image,none,1,7603,7603.0,100,700,0.092069,standard,Classical/24_mnist.npz
musk,classical,Chemistry,none,1,3062,3062.0,166,97,0.031679,standard,Classical/25_musk.npz
optdigits,classical,Image,none,1,5216,5216.0,64,150,0.028758,standard,Classical/26_optdigits.npz
PageBlocks,classical,Document,none,1,5393,5393.0,10,510,0.094567,standard,Classical/27_PageBlocks.npz
pendigits,classical,Image,none,1,6870,6870.0,16,156,0.022707,standard,Classical/28_pendigits.npz
Pima,classical,Healthcare,none,1,768,768.0,8,268,0.348958,high_anom_rate,Classical/29_Pima.npz
satellite,classical,Astronautics,none,1,6435,6435.0,36,2036,0.316395,high_anom_rate,Classical/30_satellite.npz
satimage-2,classical,Astronautics,none,1,5803,5803.0,36,71,0.012235,standard,Classical/31_satimage-2.npz
shuttle,classical,Astronautics,none,1,49097,49097.0,9,3511,0.071511,standard,Classical/32_shuttle.npz
skin,classical,Image,none,1,245057,245057.0,3,50859,0.207539,large_n,Classical/33_skin.npz
smtp,classical,Web,none,1,95156,95156.0,3,30,0.000315,extreme_imbalance,Classical/34_smtp.npz
SpamBase,classical,Document,none,1,4207,4207.0,57,1679,0.399097,high_anom_rate,Classical/35_SpamBase.npz
speech,classical,Linguistics,none,1,3686,3686.0,400,61,0.016549,high_d,Classical/36_speech.npz
Stamps,classical,Document,none,1,340,340.0,9,31,0.091176,tiny_n,Classical/37_Stamps.npz
thyroid,classical,Healthcare,none,1,3772,3772.0,6,93,0.024655,standard,Classical/38_thyroid.npz
vertebral,classical,Biology,none,1,240,240.0,6,30,0.125,tiny_n,Classical/39_vertebral.npz
vowels,classical,Linguistics,none,1,1456,1456.0,12,50,0.034341,standard,Classical/40_vowels.npz
Waveform,classical,Physics,none,1,3443,3443.0,21,100,0.029044,standard,Classical/41_Waveform.npz
WBC,classical,Healthcare,none,1,223,223.0,9,10,0.044843,tiny_n,Classical/42_WBC.npz
WDBC,classical,Healthcare,none,1,367,367.0,30,10,0.027248,tiny_n,Classical/43_WDBC.npz
Wilt,classical,Botany,none,1,4819,4819.0,5,257,0.053331,standard,Classical/44_Wilt.npz
wine,classical,Chemistry,none,1,129,129.0,13,10,0.077519,tiny_n,Classical/45_wine.npz
WPBC,classical,Healthcare,none,1,198,198.0,33,47,0.237374,tiny_n,Classical/46_WPBC.npz
yeast,classical,Biology,none,1,1484,1484.0,8,507,0.341644,high_anom_rate,Classical/47_yeast.npz
CIFAR10,cv,Image,ResNet18,10,52630,5263.0,512,2630,0.049971,high_d,CV_by_ResNet18/CIFAR10_0.npz;CV_by_ResNet18/CIFAR10_1.npz;CV_by_ResNet18/CIFAR10_2.npz;CV_by_ResNet18/CIFAR10_3.npz;CV_by_ResNet18/CIFAR10_4.npz;CV_by_ResNet18/CIFAR10_5.npz;CV_by_ResNet18/CIFAR10_6.npz;CV_by_ResNet18/CIFAR10_7.npz;CV_by_ResNet18/CIFAR10_8.npz;CV_by_ResNet18/CIFAR10_9.npz
FashionMNIST,cv,Image,ResNet18,10,63150,6315.0,512,3150,0.049881,high_d,CV_by_ResNet18/FashionMNIST_0.npz;CV_by_ResNet18/FashionMNIST_1.npz;CV_by_ResNet18/FashionMNIST_2.npz;CV_by_ResNet18/FashionMNIST_3.npz;CV_by_ResNet18/FashionMNIST_4.npz;CV_by_ResNet18/FashionMNIST_5.npz;CV_by_ResNet18/FashionMNIST_6.npz;CV_by_ResNet18/FashionMNIST_7.npz;CV_by_ResNet18/FashionMNIST_8.npz;CV_by_ResNet18/FashionMNIST_9.npz
MNIST-C,cv,Image,ResNet18,16,160000,10000.0,512,8000,0.05,high_d,CV_by_ResNet18/MNIST-C_brightness.npz;CV_by_ResNet18/MNIST-C_canny_edges.npz;CV_by_ResNet18/MNIST-C_dotted_line.npz;CV_by_ResNet18/MNIST-C_fog.npz;CV_by_ResNet18/MNIST-C_glass_blur.npz;CV_by_ResNet18/MNIST-C_identity.npz;CV_by_ResNet18/MNIST-C_impulse_noise.npz;CV_by_ResNet18/MNIST-C_motion_blur.npz;CV_by_ResNet18/MNIST-C_rotate.npz;CV_by_ResNet18/MNIST-C_scale.npz;CV_by_ResNet18/MNIST-C_shear.npz;CV_by_ResNet18/MNIST-C_shot_noise.npz;CV_by_ResNet18/MNIST-C_spatter.npz;CV_by_ResNet18/MNIST-C_stripe.npz;CV_by_ResNet18/MNIST-C_translate.npz;CV_by_ResNet18/MNIST-C_zigzag.npz
MVTec-AD,cv,Image,ResNet18,15,5354,356.93,512,1258,0.234965,high_d|tiny_n,CV_by_ResNet18/MVTec-AD_bottle.npz;CV_by_ResNet18/MVTec-AD_cable.npz;CV_by_ResNet18/MVTec-AD_capsule.npz;CV_by_ResNet18/MVTec-AD_carpet.npz;CV_by_ResNet18/MVTec-AD_grid.npz;CV_by_ResNet18/MVTec-AD_hazelnut.npz;CV_by_ResNet18/MVTec-AD_leather.npz;CV_by_ResNet18/MVTec-AD_metal_nut.npz;CV_by_ResNet18/MVTec-AD_pill.npz;CV_by_ResNet18/MVTec-AD_screw.npz;CV_by_ResNet18/MVTec-AD_tile.npz;CV_by_ResNet18/MVTec-AD_toothbrush.npz;CV_by_ResNet18/MVTec-AD_transistor.npz;CV_by_ResNet18/MVTec-AD_wood.npz;CV_by_ResNet18/MVTec-AD_zipper.npz
